('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
('BNS: 9.40 C_cc                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,1/2)'", "(my|0,0,0)'"])
('BNS: 9.41 C_ac                ', ['Operators', '(BNS):', '(1|0,0,0)', '(my|0,0,1/2)', "(1|1/2,0,0)'", "(my|0,1/2,1/2)'"])
('BNS: 10.42 P2/m               ', ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)'])
("BNS: 10.43 P2/m1'             ", ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|0,0,0)'", "(2y|0,0,0)'", "(-1|0,0,0)'", "(my|0,0,0)'"])
("BNS: 10.44 P2'/m              ", ['Operators:', '(1|0,0,0)', "(2y|0,0,0)'", "(-1|0,0,0)'", '(my|0,0,0)'])
("BNS: 10.45 P2/m'              ", ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', "(-1|0,0,0)'", "(my|0,0,0)'"])
("BNS: 10.46 P2'/m'             ", ['Operators:', '(1|0,0,0)', "(2y|0,0,0)'", '(-1|0,0,0)', "(my|0,0,0)'"])
('BNS: 10.47 P_a2/m             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|1/2,0,0)'", "(2y|1/2,0,0)'", "(-1|1/2,0,0)'", "(my|1/2,0,0)'"])
('BNS: 10.48 P_b2/m             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|0,1/2,0)'", "(2y|0,1/2,0)'", "(-1|0,1/2,0)'", "(my|0,1/2,0)'"])
('BNS: 10.49 P_C2/m             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(-1|1/2,1/2,0)'", "(my|1/2,1/2,0)'"])
('BNS: 11.50 P2_1/m             ', ['Operators:', '(1|0,0,0)', '(2y|0,1/2,0)', '(-1|0,0,0)', '(my|0,1/2,0)'])
("BNS: 11.51 P2_1/m1'           ", ['Operators:', '(1|0,0,0)', '(2y|0,1/2,0)', '(-1|0,0,0)', '(my|0,1/2,0)', "(1|0,0,0)'", "(2y|0,1/2,0)'", "(-1|0,0,0)'", "(my|0,1/2,0)'"])
("BNS: 11.52 P2_1'/m            ", ['Operators:', '(1|0,0,0)', "(2y|0,1/2,0)'", "(-1|0,0,0)'", '(my|0,1/2,0)'])
("BNS: 11.53 P2_1/m'            ", ['Operators:', '(1|0,0,0)', '(2y|0,1/2,0)', "(-1|0,0,0)'", "(my|0,1/2,0)'"])
("BNS: 11.54 P2_1'/m'           ", ['Operators:', '(1|0,0,0)', "(2y|0,1/2,0)'", '(-1|0,0,0)', "(my|0,1/2,0)'"])
('BNS: 11.55 P_a2_1/m           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,0)', '(-1|0,0,0)', '(my|0,1/2,0)', "(1|1/2,0,0)'", "(2y|1/2,1/2,0)'", "(-1|1/2,0,0)'", "(my|1/2,1/2,0)'"])
('BNS: 11.56 P_b2_1/m           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,0)', '(-1|0,0,0)', '(my|0,1/2,0)', "(1|0,1/2,0)'", "(2y|0,0,0)'", "(-1|0,1/2,0)'", "(my|0,0,0)'"])
('BNS: 11.57 P_C2_1/m           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,0)', '(-1|0,0,0)', '(my|0,1/2,0)', "(1|1/2,1/2,0)'", "(2y|1/2,0,0)'", "(-1|1/2,1/2,0)'", "(my|1/2,0,0)'"])
('BNS: 12.58 C2/m               ', ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)'])
("BNS: 12.59 C2/m1'             ", ['Operators:', '(1|0,0,0)', '(2y|0,0,0)', '(-1|0,0,0)', '(my|0,0,0)', "(1|0,0,0)'", "(2y|0,0,0)'", "(-1|0,0,0)'", "(my|0,0,0)'"])
