('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
("BNS: 87.77 I4'/m              ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', '(-1|0,0,0)', "(-4z|0,0,0)'", "(-4z-1|0,0,0)'", '(mz|0,0,0)'])
("BNS: 87.78 I4/m'              ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', "(-1|0,0,0)'", "(-4z|0,0,0)'", "(-4z-1|0,0,0)'", "(mz|0,0,0)'"])
("BNS: 87.79 I4'/m'             ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2z|0,0,0)', "(-1|0,0,0)'", '(-4z|0,0,0)', '(-4z-1|0,0,0)', "(mz|0,0,0)'"])
('BNS: 87.80 I_c4/m             ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2z|0,0,0)', '(-1|0,0,0)', '(-4z|0,0,0)', '(-4z-1|0,0,0)', '(mz|0,0,0)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2z|0,0,1/2)'", "(-1|0,0,1/2)'", "(-4z|0,0,1/2)'", "(-4z-1|0,0,1/2)'", "(mz|0,0,1/2)'"])
('BNS: 88.81 I4_1/a             ', ['Operators:', '(1|0,0,0)', '(4z|3/4,1/4,1/4)', '(4z-1|1/4,1/4,1/4)', '(2z|0,1/2,0)', '(-1|0,0,0)', '(-4z|1/4,3/4,3/4)', '(-4z-1|3/4,3/4,3/4)', '(mz|0,1/2,0)'])
("BNS: 88.82 I4_1/a1'           ", ['Operators:', '(1|0,0,0)', '(4z|3/4,1/4,1/4)', '(4z-1|1/4,1/4,1/4)', '(2z|0,1/2,0)', '(-1|0,0,0)', '(-4z|1/4,3/4,3/4)', '(-4z-1|3/4,3/4,3/4)', '(mz|0,1/2,0)', "(1|0,0,0)'", "(4z|3/4,1/4,1/4)'", "(4z-1|1/4,1/4,1/4)'", "(2z|0,1/2,0)'", "(-1|0,0,0)'", "(-4z|1/4,3/4,3/4)'", "(-4z-1|3/4,3/4,3/4)'", "(mz|0,1/2,0)'"])
("BNS: 88.83 I4_1'/a            ", ['Operators:', '(1|0,0,0)', "(4z|3/4,1/4,1/4)'", "(4z-1|1/4,1/4,1/4)'", '(2z|0,1/2,0)', '(-1|0,0,0)', "(-4z|1/4,3/4,3/4)'", "(-4z-1|3/4,3/4,3/4)'", '(mz|0,1/2,0)'])
("BNS: 88.84 I4_1/a'            ", ['Operators:', '(1|0,0,0)', '(4z|3/4,1/4,1/4)', '(4z-1|1/4,1/4,1/4)', '(2z|0,1/2,0)', "(-1|0,0,0)'", "(-4z|1/4,3/4,3/4)'", "(-4z-1|3/4,3/4,3/4)'", "(mz|0,1/2,0)'"])
("BNS: 88.85 I4_1'/a'           ", ['Operators:', '(1|0,0,0)', "(4z|3/4,1/4,1/4)'", "(4z-1|1/4,1/4,1/4)'", '(2z|0,1/2,0)', "(-1|0,0,0)'", '(-4z|1/4,3/4,3/4)', '(-4z-1|3/4,3/4,3/4)', "(mz|0,1/2,0)'"])
('BNS: 88.86 I_c4_1/a           ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|3/4,1/4,1/4)', '(4z-1|1/4,1/4,1/4)', '(2z|0,1/2,0)', '(-1|0,0,0)', '(-4z|1/4,3/4,3/4)', '(-4z-1|3/4,3/4,3/4)', '(mz|0,1/2,0)', "(1|0,0,1/2)'", "(4z|1/4,3/4,1/4)'", "(4z-1|3/4,3/4,1/4)'", "(2z|0,1/2,1/2)'", "(-1|1/2,1/2,0)'", "(-4z|1/4,3/4,1/4)'", "(-4z-1|3/4,3/4,1/4)'", "(mz|1/2,0,0)'"])
('BNS: 89.87 P422               ', ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
("BNS: 89.88 P4221'             ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 89.89 P4'22'             ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 89.90 P42'2'             ", ['Operators:', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 89.91 P4'2'2             ", ['Operators:', '(1|0,0,0)', "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
('BNS: 89.92 P_c422             ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
('BNS: 89.93 P_C422             ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'"])
('BNS: 89.94 P_I422             ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,0)', '(4z-1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'"])
('BNS: 90.95 P42_12             ', ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,0)', '(4z-1|1/2,1/2,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
("BNS: 90.96 P42_121'           ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,0)', '(4z-1|1/2,1/2,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,0)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 90.97 P4'2_12'           ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 90.98 P42_1'2'           ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,0)', '(4z-1|1/2,1/2,0)', "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 90.99 P4'2_1'2           ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
('BNS: 90.100 P_c42_12          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,0)', '(4z-1|1/2,1/2,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
('BNS: 90.101 P_C42_12          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,0)', '(4z-1|1/2,1/2,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'"])
('BNS: 90.102 P_I42_12          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,0)', '(4z-1|1/2,1/2,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'"])
('BNS: 91.103 P4_122            ', ['Operators:', '(1|0,0,0)', '(4z|0,0,1/4)', '(4z-1|0,0,3/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,3/4)', '(2-xy|0,0,1/4)'])
("BNS: 91.104 P4_1221'          ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/4)', '(4z-1|0,0,3/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,3/4)', '(2-xy|0,0,1/4)', "(1|0,0,0)'", "(4z|0,0,1/4)'", "(4z-1|0,0,3/4)'", "(2x|0,0,1/2)'", "(2y|0,0,0)'", "(2z|0,0,1/2)'", "(2xy|0,0,3/4)'", "(2-xy|0,0,1/4)'"])
("BNS: 91.105 P4_1'22'          ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/4)'", "(4z-1|0,0,3/4)'", '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', "(2xy|0,0,3/4)'", "(2-xy|0,0,1/4)'"])
("BNS: 91.106 P4_12'2'          ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/4)', '(4z-1|0,0,3/4)', "(2x|0,0,1/2)'", "(2y|0,0,0)'", '(2z|0,0,1/2)', "(2xy|0,0,3/4)'", "(2-xy|0,0,1/4)'"])
("BNS: 91.107 P4_1'2'2          ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/4)'", "(4z-1|0,0,3/4)'", "(2x|0,0,1/2)'", "(2y|0,0,0)'", '(2z|0,0,1/2)', '(2xy|0,0,3/4)', '(2-xy|0,0,1/4)'])
('BNS: 91.108 P_c4_122          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/4)', '(4z-1|0,0,3/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,3/4)', '(2-xy|0,0,1/4)', "(1|0,0,1/2)'", "(4z|0,0,3/4)'", "(4z-1|0,0,1/4)'", "(2x|0,0,0)'", "(2y|0,0,1/2)'", "(2z|0,0,0)'", "(2xy|0,0,1/4)'", "(2-xy|0,0,3/4)'"])
('BNS: 91.109 P_C4_122          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/4)', '(4z-1|0,0,3/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,3/4)', '(2-xy|0,0,1/4)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,1/4)'", "(4z-1|1/2,1/2,3/4)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,3/4)'", "(2-xy|1/2,1/2,1/4)'"])
('BNS: 91.110 P_I4_122          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/4)', '(4z-1|0,0,3/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,3/4)', '(2-xy|0,0,1/4)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,3/4)'", "(4z-1|1/2,1/2,1/4)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,1/4)'", "(2-xy|1/2,1/2,3/4)'"])
('BNS: 92.111 P4_12_12          ', ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/4)', '(4z-1|1/2,1/2,3/4)', '(2x|1/2,1/2,3/4)', '(2y|1/2,1/2,1/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)'])
("BNS: 92.112 P4_12_121'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/4)', '(4z-1|1/2,1/2,3/4)', '(2x|1/2,1/2,3/4)', '(2y|1/2,1/2,1/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|0,0,0)'", "(4z|1/2,1/2,1/4)'", "(4z-1|1/2,1/2,3/4)'", "(2x|1/2,1/2,3/4)'", "(2y|1/2,1/2,1/4)'", "(2z|0,0,1/2)'", "(2xy|0,0,0)'", "(2-xy|0,0,1/2)'"])
("BNS: 92.113 P4_1'2_12'        ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/4)'", "(4z-1|1/2,1/2,3/4)'", '(2x|1/2,1/2,3/4)', '(2y|1/2,1/2,1/4)', '(2z|0,0,1/2)', "(2xy|0,0,0)'", "(2-xy|0,0,1/2)'"])
("BNS: 92.114 P4_12_1'2'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/4)', '(4z-1|1/2,1/2,3/4)', "(2x|1/2,1/2,3/4)'", "(2y|1/2,1/2,1/4)'", '(2z|0,0,1/2)', "(2xy|0,0,0)'", "(2-xy|0,0,1/2)'"])
("BNS: 92.115 P4_1'2_1'2        ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/4)'", "(4z-1|1/2,1/2,3/4)'", "(2x|1/2,1/2,3/4)'", "(2y|1/2,1/2,1/4)'", '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)'])
('BNS: 92.116 P_c4_12_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/4)', '(4z-1|1/2,1/2,3/4)', '(2x|1/2,1/2,3/4)', '(2y|1/2,1/2,1/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|0,0,1/2)'", "(4z|1/2,1/2,3/4)'", "(4z-1|1/2,1/2,1/4)'", "(2x|1/2,1/2,1/4)'", "(2y|1/2,1/2,3/4)'", "(2z|0,0,0)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,0)'"])
('BNS: 92.117 P_C4_12_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/4)', '(4z-1|1/2,1/2,3/4)', '(2x|1/2,1/2,3/4)', '(2y|1/2,1/2,1/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|1/2,1/2,0)'", "(4z|0,0,1/4)'", "(4z-1|0,0,3/4)'", "(2x|0,0,3/4)'", "(2y|0,0,1/4)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,1/2)'"])
('BNS: 92.118 P_I4_12_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/4)', '(4z-1|1/2,1/2,3/4)', '(2x|1/2,1/2,3/4)', '(2y|1/2,1/2,1/4)', '(2z|0,0,1/2)', '(2xy|0,0,0)', '(2-xy|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(4z|0,0,3/4)'", "(4z-1|0,0,1/4)'", "(2x|0,0,1/4)'", "(2y|0,0,3/4)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,0)'"])
('BNS: 93.119 P4_222            ', ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)'])
("BNS: 93.120 P4_2221'          ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', "(1|0,0,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
("BNS: 93.121 P4_2'22'          ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
("BNS: 93.122 P4_22'2'          ", ['Operators:', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
("BNS: 93.123 P4_2'2'2          ", ['Operators:', '(1|0,0,0)', "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)'])
('BNS: 93.124 P_c4_222          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', "(1|0,0,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
('BNS: 93.125 P_C4_222          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'"])
('BNS: 93.126 P_I4_222          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,1/2)', '(4z-1|0,0,1/2)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', '(2xy|0,0,1/2)', '(2-xy|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'"])
('BNS: 94.127 P4_22_12          ', ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
("BNS: 94.128 P4_22_121'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,0)'", "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|0,0,0)'", "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 94.129 P4_2'2_12'        ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 94.130 P4_22_1'2'        ", ['Operators:', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", '(2z|0,0,0)', "(2xy|0,0,0)'", "(2-xy|0,0,0)'"])
("BNS: 94.131 P4_2'2_1'2        ", ['Operators:', '(1|0,0,0)', "(4z|1/2,1/2,1/2)'", "(4z-1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)'])
('BNS: 94.132 P_c4_22_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|0,0,1/2)'", "(4z|1/2,1/2,0)'", "(4z-1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/2)'", "(2-xy|0,0,1/2)'"])
('BNS: 94.133 P_C4_22_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|1/2,1/2,0)'", "(4z|0,0,1/2)'", "(4z-1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,0)'", "(2-xy|1/2,1/2,0)'"])
('BNS: 94.134 P_I4_22_12        ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|1/2,1/2,1/2)', '(4z-1|1/2,1/2,1/2)', '(2x|1/2,1/2,1/2)', '(2y|1/2,1/2,1/2)', '(2z|0,0,0)', '(2xy|0,0,0)', '(2-xy|0,0,0)', "(1|1/2,1/2,1/2)'", "(4z|0,0,0)'", "(4z-1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,1/2)'", "(2-xy|1/2,1/2,1/2)'"])
('BNS: 95.135 P4_322            ', ['Operators:', '(1|0,0,0)', '(4z|0,0,3/4)', '(4z-1|0,0,1/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,1/4)', '(2-xy|0,0,3/4)'])
("BNS: 95.136 P4_3221'          ", ['Operators:', '(1|0,0,0)', '(4z|0,0,3/4)', '(4z-1|0,0,1/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,1/4)', '(2-xy|0,0,3/4)', "(1|0,0,0)'", "(4z|0,0,3/4)'", "(4z-1|0,0,1/4)'", "(2x|0,0,1/2)'", "(2y|0,0,0)'", "(2z|0,0,1/2)'", "(2xy|0,0,1/4)'", "(2-xy|0,0,3/4)'"])
("BNS: 95.137 P4_3'22'          ", ['Operators:', '(1|0,0,0)', "(4z|0,0,3/4)'", "(4z-1|0,0,1/4)'", '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', "(2xy|0,0,1/4)'", "(2-xy|0,0,3/4)'"])
("BNS: 95.138 P4_32'2'          ", ['Operators:', '(1|0,0,0)', '(4z|0,0,3/4)', '(4z-1|0,0,1/4)', "(2x|0,0,1/2)'", "(2y|0,0,0)'", '(2z|0,0,1/2)', "(2xy|0,0,1/4)'", "(2-xy|0,0,3/4)'"])
("BNS: 95.139 P4_3'2'2          ", ['Operators:', '(1|0,0,0)', "(4z|0,0,3/4)'", "(4z-1|0,0,1/4)'", "(2x|0,0,1/2)'", "(2y|0,0,0)'", '(2z|0,0,1/2)', '(2xy|0,0,1/4)', '(2-xy|0,0,3/4)'])
('BNS: 95.140 P_c4_322          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,3/4)', '(4z-1|0,0,1/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,1/4)', '(2-xy|0,0,3/4)', "(1|0,0,1/2)'", "(4z|0,0,1/4)'", "(4z-1|0,0,3/4)'", "(2x|0,0,0)'", "(2y|0,0,1/2)'", "(2z|0,0,0)'", "(2xy|0,0,3/4)'", "(2-xy|0,0,1/4)'"])
('BNS: 95.141 P_C4_322          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,3/4)', '(4z-1|0,0,1/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,1/4)', '(2-xy|0,0,3/4)', "(1|1/2,1/2,0)'", "(4z|1/2,1/2,3/4)'", "(4z-1|1/2,1/2,1/4)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,1/2)'", "(2xy|1/2,1/2,1/4)'", "(2-xy|1/2,1/2,3/4)'"])
('BNS: 95.142 P_I4_322          ', ['Operators', '(BNS):', '(1|0,0,0)', '(4z|0,0,3/4)', '(4z-1|0,0,1/4)', '(2x|0,0,1/2)', '(2y|0,0,0)', '(2z|0,0,1/2)', '(2xy|0,0,1/4)', '(2-xy|0,0,3/4)', "(1|1/2,1/2,1/2)'", "(4z|1/2,1/2,1/4)'", "(4z-1|1/2,1/2,3/4)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,0)'", "(2xy|1/2,1/2,3/4)'", "(2-xy|1/2,1/2,1/4)'"])
